年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間)
2020/1/1,5.4,8.5,1.4,0,2.4
2020/1/2,6.4,11.1,2.3,0,6.7
2020/1/3,7.4,11.9,3.7,0,2.6
2020/1/4,8,10.7,4.2,0.5,4.2
2020/1/5,5.1,6.5,3.5,2,0.8
2020/1/6,5.6,9.6,1.4,0,5.5
2020/1/7,4.7,6.7,2.3,7,0
2020/1/8,10.4,16.2,6.6,15,1.7
2020/1/9,9.1,12,7.1,0.5,3.3
2020/1/10,6.9,10,2.5,0,3.4
2020/1/11,5.8,11.8,1.3,0,7.7
2020/1/12,5.9,8.7,3.1,0,0.2
2020/1/13,7.6,10.7,4.2,0,6.3
2020/1/14,6.2,9.3,1.7,1,4.2
2020/1/15,5.8,9,3.4,0,5.1
2020/1/16,4.8,9.5,1.7,0,5.6
2020/1/17,5.5,9.1,2.1,0.5,0.2
2020/1/18,6.6,10.1,3.2,0,5.1
2020/1/19,6.7,10,1.8,0,4.8
2020/1/20,7.8,11.8,3.3,0,4.9
2020/1/21,6.2,9,2,0,3.3
2020/1/22,4.6,8,-0.3,0,3
2020/1/23,7.7,9.5,5.6,26,0
2020/1/24,9.7,12.6,7.3,0,1.4
2020/1/25,6.7,10.1,4.2,0,1.8
2020/1/26,7.7,10.3,5.5,0,2.1
2020/1/27,7.3,9.6,5.1,6,0
2020/1/28,11.4,14.2,8,2.5,0.2
2020/1/29,10.4,13.3,7.5,3.5,1.9
2020/1/30,7.5,11,4.9,0,5
2020/1/31,5.1,7.2,3.3,0.5,4.7
2020/2/1,5.1,9.1,0.9,0,2.3
2020/2/2,5.6,11.3,0.5,0,7.3
2020/2/3,6.5,11.9,0.9,0,6.4
2020/2/4,5.9,11.6,1.8,0,9.4
2020/2/5,4.6,9.7,1.3,0,7.8
2020/2/6,0.9,3.3,-0.9,0,3.3
2020/2/7,2.4,7.4,-1.5,0,7.1
2020/2/8,5.1,8.9,1.7,0,5.7
2020/2/9,2,4.3,0.4,0.5,3.7
2020/2/10,2.8,7.1,-2.3,0,2.7
2020/2/11,5.3,10.4,1,0.5,8.3
2020/2/12,5.7,10.3,0.2,1.5,2.9
2020/2/13,10.5,15.7,7.9,8.5,1
2020/2/14,8.6,12.2,6.1,0,0
2020/2/15,9.2,14.5,5.5,0,1.2
2020/2/16,10.3,14.6,8.5,24.5,0
2020/2/17,6.8,10,2.7,0,5
2020/2/18,3.7,7.1,0.1,0.5,3.4
2020/2/19,6.3,10.9,3.1,0,6.4
2020/2/20,6.4,11.9,1.2,0,6.1
2020/2/21,7,13.9,1.8,0,9.9
2020/2/22,5.9,8.4,2.7,13,0.1
2020/2/23,7.3,10.6,3,0,5.6
2020/2/24,6.9,14,0.4,0,10
2020/2/25,6.2,8.3,2.5,4,0
2020/2/26,8.8,12.8,6.7,4.5,3
2020/2/27,4.9,8,2.7,1,3.8
2020/2/28,5.7,8.8,2.6,0,2.6
2020/2/29,6,7.2,4.5,10,0
2020/3/1,9.2,14,5.3,0,6.8
2020/3/2,11,16.8,7.2,0,6.8
2020/3/3,8.9,13.5,5.9,0,6.8
2020/3/4,7.9,9.5,6.2,7,0
2020/3/5,5.9,9.1,4.3,2.5,4.8
2020/3/6,6.4,11.4,1.7,0,6.9
2020/3/7,6.7,11.9,0,0,7.1
2020/3/8,8.8,12.6,6,11.5,0.7
2020/3/9,10.2,15.9,3.6,0,9.3
2020/3/10,13.5,15.8,11.1,24.5,0
2020/3/11,10.6,14.3,7.2,1,3.4
2020/3/12,9,15.2,5.1,0,11
2020/3/13,9,16.7,2.4,0,9.8
2020/3/14,7.6,9.9,5.5,7,0.2
2020/3/15,6.8,11.3,4,1,5.9
2020/3/16,4.6,7.3,2.9,5.5,3.9
